state,week_start,weekly_cases,pop2019,LandArea,Percentage_over_65,infection_rate,retail_and_recreation_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,population_density,government_response_index,containment_index,economic_support_index,stringency_index
South Carolina,2020-05-24T00:00:00Z,74626,5081200,30061,0.172,1468.6688183893568,-6.525862068965517,33.61467889908257,-1.4628571428571429,169.0296397325438,63.465714285714284,63.607142857142854,62.5,66.53428571428572
South Carolina,2020-05-31T00:00:00Z,88420,5081200,30061,0.172,1740.1401243800678,0.24347826086956523,55.07070707070707,7.119047619047619,169.0296397325438,61.46,61.31,62.5,62.96
South Carolina,2020-06-07T00:00:00Z,111655,5081200,30061,0.172,2197.4139966936946,-1.5411255411255411,52.18269230769231,8.00609756097561,169.0296397325438,57.21714285714286,56.462857142857146,62.5,55.42142857142857
South Carolina,2020-06-14T00:00:00Z,146616,5081200,30061,0.172,2885.46012752893,-0.625,58.90196078431372,7.7976190476190474,169.0296397325438,51.56,50,62.5,45.37
South Carolina,2020-06-21T00:00:00Z,196092,5081200,30061,0.172,3859.1671258757774,-2.668103448275862,61.16831683168317,8.47305389221557,169.0296397325438,52.565714285714286,51.14714285714286,62.5,45.37
South Carolina,2020-06-28T00:00:00Z,266901,5081200,30061,0.172,5252.7158938833345,0.030172413793103446,62.09183673469388,6.470238095238095,169.0296397325438,53.91,52.68,62.5,45.37
South Carolina,2020-07-05T00:00:00Z,345297,5081200,30061,0.172,6795.57978430292,-5.478448275862069,47.705882352941174,5.390243902439025,169.0296397325438,53.91,52.68,62.5,45.37
South Carolina,2020-07-12T00:00:00Z,435205,5081200,30061,0.172,8565.0043296859,-5.600858369098712,52.1,2.5352941176470587,169.0296397325438,55.098571428571425,54.04,62.5,47.48428571428571
South Carolina,2020-07-19T00:00:00Z,525031,5081200,30061,0.172,10332.815083051248,-6.739316239316239,44.22549019607843,0.5481927710843374,169.0296397325438,55.99,55.06,62.5,49.07
South Carolina,2020-07-26T00:00:00Z,600758,5081200,30061,0.172,11823.152011335906,-5.354700854700854,49.57575757575758,2.773006134969325,169.0296397325438,55.09571428571429,55.06,55.357142857142854,49.07
South Carolina,2020-08-02T00:00:00Z,668877,5081200,30061,0.172,13163.760529008894,-6.536796536796537,43.66346153846154,0.03508771929824561,169.0296397325438,54.95,57.44,37.5,52.78
South Carolina,2020-08-09T00:00:00Z,721330,5081200,30061,0.172,14196.056049752026,-7.379310344827586,41.89719626168224,1.2705882352941176,169.0296397325438,54.95,57.44,37.5,52.78
South Carolina,2020-08-16T00:00:00Z,760526,5081200,30061,0.172,14967.448634180902,-8.366412213740459,40.714285714285715,-3.4358974358974357,169.0296397325438,53.15857142857143,55.4,37.5,49.6
South Carolina,2020-08-23T00:00:00Z,799918,5081200,30061,0.172,15742.69857513973,-10.172413793103448,9,-19.57894736842105,169.0296397325438,52.86,55.06,37.5,49.07
South Carolina,2020-08-30T00:00:00Z,846975,5081200,30061,0.172,16668.798708966387,-6.298245614035087,20.733333333333334,-15.842105263157896,169.0296397325438,53.457142857142856,55.74,37.5,49.07
South Carolina,2020-09-06T00:00:00Z,888296,5081200,30061,0.172,17482.012123120523,-8.236486486486486,52.83720930232558,-7.380952380952381,169.0296397325438,52.86,55.06,37.5,49.07
South Carolina,2020-09-13T00:00:00Z,941140,5081200,30061,0.172,18522.002676533102,-8.056034482758621,40.333333333333336,-2.82183908045977,169.0296397325438,52.86,55.06,37.5,49.07
South Carolina,2020-09-20T00:00:00Z,990189,5081200,30061,0.172,19487.30614815398,-6.32034632034632,41.356521739130436,-0.6514285714285715,169.0296397325438,52.86,55.06,37.5,49.07
South Carolina,2020-09-27T00:00:00Z,1036317,5081200,30061,0.172,20395.123199244274,-3.7758620689655173,34.585585585585584,0.8323699421965318,169.0296397325438,52.86,55.06,37.5,49.07
South Carolina,2020-10-04T00:00:00Z,1077468,5081200,30061,0.172,21204.99094702039,-4.865800865800866,38.372727272727275,2.6149425287356323,169.0296397325438,52.86,55.06,37.5,49.07
South Carolina,2020-10-11T00:00:00Z,1120726,5081200,30061,0.172,22056.325277493506,-6.334763948497854,39.234234234234236,2.5722543352601157,169.0296397325438,53.98142857142857,56.33857142857143,37.5,49.07
South Carolina,2020-10-18T00:00:00Z,1165824,5081200,30061,0.172,22943.871526411083,-6.168103448275862,45.57943925233645,3.0292397660818713,169.0296397325438,54.43,56.85,37.5,49.07
South Carolina,2020-10-25T00:00:00Z,1215046,5081200,30061,0.172,23912.579705581356,-6.298701298701299,26.695652173913043,-0.8114285714285714,169.0296397325438,54.43,56.85,37.5,49.07
South Carolina,2020-11-01T00:00:00Z,1267015,5081200,30061,0.172,24935.34991734236,-6.1173913043478265,22.439655172413794,-4.7727272727272725,169.0296397325438,54.43,56.85,37.5,49.07
South Carolina,2020-11-08T00:00:00Z,1325417,5081200,30061,0.172,26084.724080925764,-9.038793103448276,9.631147540983607,-6.112359550561798,169.0296397325438,54.43,56.85,37.5,49.07
South Carolina,2020-11-15T00:00:00Z,1398810,5081200,30061,0.172,27529.12697787924,-7.828326180257511,12.188034188034187,-3.6553672316384183,169.0296397325438,54.43,56.85,37.5,49.07
South Carolina,2020-11-22T00:00:00Z,1472918,5081200,30061,0.172,28987.60135401086,-13.272727272727273,19.235294117647058,-4.157894736842105,169.0296397325438,54.43,56.85,37.5,49.07
South Carolina,2020-11-29T00:00:00Z,1551674,5081200,30061,0.172,30537.55018499567,-5.64935064935065,-2.6333333333333333,-0.6057142857142858,169.0296397325438,54.43,56.85,37.5,49.07
South Carolina,2020-12-06T00:00:00Z,1678859,5081200,30061,0.172,33040.6006455168,-7.521551724137931,3,-8.422222222222222,169.0296397325438,54.43,56.85,37.5,49.07
South Carolina,2020-12-13T00:00:00Z,1824808,5081200,30061,0.172,35912.93395260962,-6.672413793103448,-7.631147540983607,-4.871508379888268,169.0296397325438,53.93142857142857,56.285714285714285,37.5,49.07
South Carolina,2020-12-20T00:00:00Z,1968372,5081200,30061,0.172,38738.32952845784,-11.806167400881057,-9.1869918699187,-5.825581395348837,169.0296397325438,54.11,56.49,37.5,49.07
South Carolina,2020-12-27T00:00:00Z,2126038,5081200,30061,0.172,41841.25797055814,-1.2392638036809815,7.95,5,169.0296397325438,55.11,57.634,37.5,49.07
South Dakota,2020-01-26T00:00:00Z,0,880437,75811,0.163,0,NA,NA,NA,11.613578504438669,6.324285714285714,7.228571428571429,0,1.9857142857142855
South Dakota,2020-02-02T00:00:00Z,0,880437,75811,0.163,0,NA,NA,NA,11.613578504438669,6.77,7.74,0,2.78
South Dakota,2020-02-09T00:00:00Z,0,880437,75811,0.163,0,6.894736842105263,6,2.25,11.613578504438669,9.005714285714285,10.290000000000001,0,6.744285714285715
South Dakota,2020-02-16T00:00:00Z,0,880437,75811,0.163,0,1.3257575757575757,10.857142857142858,2.9310344827586206,11.613578504438669,9.9,11.31,0,8.33
South Dakota,2020-02-23T00:00:00Z,0,880437,75811,0.163,0,3.732824427480916,11.619047619047619,3.7666666666666666,11.613578504438669,12.578571428571427,14.37,0,13.091428571428573
South Dakota,2020-03-01T00:00:00Z,0,880437,75811,0.163,0,10.651162790697674,33.19047619047619,9.791666666666666,11.613578504438669,16.15,18.45,0,19.44
